hostname,ip_address,device_type,vendor,model,location,status,last_seen,uptime_days,cpu_usage,memory_usage,interfaces_total,interfaces_up
Router1,192.168.1.1,router,Cisco,ISR 2901,Building A - Floor 1,online,2024-01-15 10:30:00,45,25.5,60.2,3,2
Router2,192.168.2.1,router,Cisco,ISR 2901,Building B - Floor 1,online,2024-01-15 10:29:45,38,18.3,45.7,3,3
Switch1,192.168.1.2,switch,Cisco,Catalyst 2960,Building A - Floor 1,online,2024-01-15 10:30:15,45,12.8,35.4,26,24
Switch2,192.168.2.2,switch,Cisco,Catalyst 2960,Building B - Floor 1,online,2024-01-15 10:29:30,38,15.2,42.1,26,22
Firewall1,192.168.1.254,firewall,Cisco,ASA 5506-X,Building A - DMZ,online,2024-01-15 10:30:30,67,45.6,78.9,8,6
AP1,192.168.1.10,wireless_ap,Cisco,Aironet 3702i,Building A - Floor 1,online,2024-01-15 10:29:00,23,8.5,28.3,2,2
AP2,192.168.1.11,wireless_ap,Cisco,Aironet 3702i,Building A - Floor 2,offline,2024-01-14 15:45:20,0,0,0,2,0
Server1,192.168.1.100,server,Dell,PowerEdge R730,Building A - Data Center,online,2024-01-15 10:30:45,156,65.2,85.4,4,4
Load_Balancer1,192.168.1.200,load_balancer,F5,BIG-IP VE,Building A - Data Center,online,2024-01-15 10:30:10,89,32.1,56.8,6,6
UPS1,192.168.1.250,ups,APC,Smart-UPS RT 6000VA,Building A - Data Center,online,2024-01-15 10:30:25,234,5.2,15.6,2,2
